audio	sentence	native_lang
34_4997_4_341_01_211113-165935_bem_004_elicit_2.wav	Baletuushako nabapyanga sana umusebo.	nbl
7_1559_0_71_01_170101-230959_bem_74d_elicit_0.wav	umulumendo alesheleleka pa mumana nafwala na ifyafita.	toi
22_1971_2_221_01_211109-095248_bem_50c_elicit_1.wav	Umulumendo umo alekopa efyo baleteya golf.	lam
29_9499_3_292_02_220111-191620_bem_94f_elicit_1.wav	Pamenshi palemoneka icintu ba panga, bushe kuti caba nicinshi?	ngo
4_4643_1_42_02_211030-170356_bem_5a5_elicit_0.wav	Elo iyi imbwa iyasame ile lolesha ka bola akanono akali mumwela.	bem
14_7095_2_141_01_211111-132025_bem_f08_elicit_1.wav	Emukwai ekatungulula wakushelela kufibumba,ewaishiba saana ukushelela kufibumba akalale konse.	bem
17_7850_2_171_01_211109-121807_bem_947_elicit_1.wav	Kwena ndemona kwati aka akamwana bakabikile pofye pa cimpelwa.	toi
15_7460_3_152_02_211030-173534_bem_8cc_elicit_1.wav	alekwela incinga ku muulu wacimuti icikalamba	bem
21_1898_2_211_01_211112-231257_bem_83a_elicit_1.wav	cine tashili shamusango umo wine iyo lelo shilemoneka shangalila pamo	
29_9626_4_291_01_220112-214605_bem_9ff_elicit_2.wav	Kabili ifyo afwele fili ifyatikama kumo na ku moolu ukuicingilila ku mpepo.	bem
27_9003_4_271_01_211113-123421_bem_f07_elicit_2.wav	cilepala akakene Kamana kalikwata amenshi ayengi sanafye.	nya
21_1805_2_211_01_211112-114855_bem_83a_elicit_1.wav	cine nalimo emo asungila ifisolobelo ifyo abomfya pa kulenga  kabili nafwala icisote cakuicingilila kubukali bwa kasuba	
12248_0_01_211021-173226_bem_dcc_elicit_0.wav	Shitata ali mucikulwa naikala pa mupando alelisha icilimba ca nsale	bem
2_4182_0_21_01_211102-083345_bem_2a5_elicit_0.wav	Umwanakashi ali ku cibansa ca mbwa uko shisambilila ifya kutoloka ne misango imbi.	bem
12_2981_2_121_01_211101-061510_bem_bd6_elicit_1.wav	ee, elyo kuli amakuumbi saana	lam
32_4652_4_321_01_211112-184526_bem_e94_elicit_2.wav	elo kabili balemoneka kwati nabaipekanya ukukopa icikope na kamela	nya
18_12190_0_181_01_211115-114218_bem_5da_elicit_0.wav	Shikulubantu umo naikala pali honda yakwe mumbali yamusebo.	toi
35_10985_3_352_02_220117-172302_bem_f12_elicit_1.wav	Nakwata nechampepo echo afimbile nakumutwe.	bem
13_6897_4_131_01_211031-101823_bem_9ed_elicit_2.wav	Endita, efyo cile moneka pantu sha moneka sana ubusaka	nya
14_7095_1_142_02_211112-005818_bem_5da_elicit_0.wav	Bushe umulumendo uyu euletungulula abana bonse abele mukusambilila ukukwela kucibumba?	toi
22_7793_2_221_01_211112-143500_bem_004_elicit_1.wav	umo nafwala ishati ya buta ne tangasa ya fita	nbl
28_9402_0_281_01_220111-091456_bem_94f_elicit_0.wav	Ibumba ilyaku teyo umupila ubwa kuminwe naikontama mucibansa uku nabe kata muma kufi.	ngo
17_7986_3_172_02_211111-101809_bem_e94_elicit_1.wav	Umukashana umwina Asia naikata na icakuicingilishako imfula umulumendo nao nabiika icoola pakati yamoolu.	nya
117_2_01_210929-142249_bem_81c_elicit_1.wav	Ici ictabo calembwamo amafunde ayakukonka.	bem
5_1163_0_51_01_211102-085520_bem_e3a_elicit_0.wav	Umwaume nanina panuma yamunankwe.	bem
147_2_01_210928-114505_bem_dcc_elicit_1.wav	Awe lolekesha bambi bafwele ifya fita te bonse abafwele ifya buta icilelangila fye ukutila pali amabumba yabili ayapusana.	bem
28_9439_4_281_01_220111-100912_bem_94f_elicit_2.wav	Elyo tule moneka utwa ololoka bwino saana	ngo
27_9003_2_271_01_211113-123421_bem_f07_elicit_1.wav	eya mukwa , elyo nga bapona apa kuti bafwa bwino-bwino.	nya
21_1914_0_211_01_211112-234628_bem_83a_elicit_0.wav	bashitata babili abasungu bali mumuputule uwakwipikilamo umo aleoca inkoko ishingi, elo umbi naiminina aletamba	
2_465_2_21_01_211026-074825_bem_cee_elicit_1.wav	Abanakashi batatu nabafwala utusote ku mutwe elyo namayo umbi na shitata tabakwete bena.	bem
13_6861_0_131_01_211030-232857_bem_9ed_elicit_0.wav	Umwaana ali pamo naabanyina, bale mulisha. Kukanwa naku kashika ne fya kulya	nya
27_8987_1_272_02_211112-225927_bem_e72_elicit_0.wav	Umo alesunka injinga kuntanshi umbi naikala pamulu aleumfwa amanone	leh
17_6620_1_172_02_220112-153153_bem_5da_elicit_0.wav	Bushe uyu shitata ewensha icimbaya mbaya ici?	toi
22_2065_2_221_01_211110-082848_bem_50c_elicit_1.wav	Umukashana nakwata fwaka kukanwa.	lam
22_2119_1_222_02_211109-183717_bem_004_elicit_0.wav	pa lupili Bali pali menshi makasa	nbl
21_7615_3_212_02_220115-143306_bem_62a_elicit_1.wav	Aba bantu Bali mwituka lya fyakufwala	bem
20_1519_4_201_01_211110-180154_bem_dbf_elicit_2.wav	naumfwa mune, nsansa nshi balemonekafye ati bali mufitemwiko	bem
4_4642_4_41_01_211031-004447_bem_5a5_elicit_2.wav	Apa pameenshi imbwa nefyoni filipo, mumbali mumbali yakamana mulemoneka.	bem
7_1741_4_71_01_170102-011953_bem_74d_elicit_2.wav	abantu bena balitemwa ifyakusefya sefya.	toi
25_2758_2_251_01_211109-154100_bem_5da_elicit_1.wav	Emukwai ewo wine, lelo katwishi abanankwe kuntu bali.	toi
33_4744_3_332_02_211109-145307_bem_b14_elicit_1.wav	Kabili cilemoneka kwati baleteya injuka elyo kabili balelanshanya	nse
8_5518_3_82_02_211104-214839_bem_901_elicit_1.wav	Naikalako pa mucanga	bem
27_9024_4_271_01_211113-130116_bem_f07_elicit_2.wav	eya mukwai efyo cilepala, pakuti balemwibukisha.	nya
30_9917_0_301_01_220124-131935_bem_c25_elicit_0.wav	Ici icikope cilelangisha imbwa iyamafufu ayabutulukila.	bem
27_9107_1_272_02_211113-150349_bem_b15_elicit_0.wav	Uyu umulumendo takweta umwenso pantu ifimabwe ifi kuti fyapona panshita iliyonse	leh
21_1890_0_211_01_211112-230154_bem_83a_elicit_0.wav	imbwa naiminina apalemoneka epo ikala ninshi kunuma yaiko kuli ichimbayambaya ca katapa katapa	
17_7885_0_171_01_211110-054713_bem_947_elicit_0.wav	Imbwa iyinono iyafita naiminina ileloleshya mumulu.	toi
33_4795_0_331_01_211109-191617_bem_c25_elicit_0.wav	Umwanakashi umo uwa nkanda iya buuta ali mu ngánda mu kicini	nse
17_6498_0_171_01_220111-122103_bem_9fd_elicit_0.wav	Banamayo nabashi tata nabeminina mucikulwa.	bem
13_3106_3_132_02_211024-195821_bem_9ed_elicit_1.wav	Limbi alelolela abanankwe kuti bambe ukuteyo mupila	nya
18_6707_0_181_01_220116-122859_bem_524_elicit_0.wav	Umuntu alimumulu pali ka skate board.	bem
7_5278_3_72_02_211027-154204_bem_74d_elicit_1.wav	cipalile kwati ileangala na umuntu e kubutuka uku twamona	toi
33_10558_0_331_01_220130-165135_bem_b40_elicit_0.wav	Abaume abacikoloci batatu abankanda iya buuta baali ku ncende imo kabili nabekala patupuna utwafiita	bem
16_7515_2_161_01_170101-060506_bem_74d_elicit_1.wav	limbi bali mu tavani,  bushe kulemoneka kwati balenwa ubwalwa uku ?	toi
9_2030_4_91_01_211024-212531_bem_ebf_elicit_2.wav	incense baliko ni Ku cipooma	bem
9_5994_4_91_01_211030-205420_bem_901_elicit_2.wav	Kabili kunuma kwakwe kulemoneka kuli ifimuti ifitali.	bem
22_7885_0_221_01_211112-211910_bem_004_elicit_0.wav	umulumendo ale Shana pakati yaba nakwe	nbl
24_2658_3_242_02_211109-122939_bem_150_elicit_1.wav	Icela balebonfwa ukubeyelako umulumendo cintu cabuta namupita notwa fita	bem
21_1828_0_211_01_211112-143426_bem_83a_elicit_0.wav	shitata uwaku fyalo fya kapinda ka ku kulyo ali kumbali ya bemba ninshi aletuuta amasaka ayalemoneka nayafina	
36_11369_3_362_02_220227-100711_bem_d0b_elicit_1.wav	abakulile ifi fikulwa balibikile sana amano pantu filemoneka ifyakose cine cine kabili filemoneka kwati fyakale	bem
7_5313_4_71_01_211103-205626_bem_1e5_elicit_2.wav	ibuumba lyabantu ili lilelangafye abantu abafwele ifya milopa milopa na ifyabuta elo lilemonekela apatali	bem
18_12010_2_181_01_211114-091822_bem_5da_elicit_1.wav	Naumona naiwe boi kanshi,elo ninshi iikele panshi inono saana ukucila iiminine.	toi
32_4604_0_321_01_211112-163757_bem_e94_elicit_0.wav	umusungu umukashana alebutuka ulubilomu mucibansa	nyj
22_7899_1_222_02_211112-211116_bem_50c_elicit_0.wav	umwana na sansamuka	lam
6_5230_4_61_01_211029-091844_bem_976_elicit_2.wav	kumbali ya mwa kubutuka balibikamo nelinga ilya mwakulanga  umwa kubutuka  elyo kuma yambwa shibili kuli naimbi imbwa iiyilemoneka akanwa	bem
15_7360_4_151_01_211027-110211_bem_9ff_elicit_2.wav	Kanshi nalimo ali na umwenso ukuti balamwipaya.	bem
17_7913_1_172_02_211110-151632_bem_e94_elicit_0.wav	Bonse babili nabafwala amatoloshi nensapato.	nya
4_947_0_41_01_211027-131135_bem_5a5_elicit_0.wav	Ndemona imbwa ilikwati ile butukila pamenshi mukwai	bem
35_11025_4_351_01_220118-093613_bem_ba5_elicit_2.wav	Bambi abantu balelolekeshako fye.	bem
33_4813_2_331_01_211109-212803_bem_c25_elicit_1.wav	kabili naiminina no kwikata banjo yakwe intu alelisha	nse
16_6223_2_161_01_220110-134916_bem_5da_elicit_1.wav	Cilemoneka kwati aba bantu babomba ku kampani kafitunshi tunshi lelo nabesa mukusenda ilyashi eco balekopela.	tog
24_2517_2_241_01_211110-093439_bem_150_elicit_1.wav	Cipalile kwati akamana kabelele mupepi nempili pantu kunuma yabo kulemonekala impili.	bem
21_7587_1_212_02_220115-141039_bem_62a_elicit_0.wav	Umulumendo untu alepanga icakulya nafwala akasote neshati lya katapa katapa elyo bonse aba bantu bankanda yabuta.	bem
10_2301_4_101_01_211027-103745_bem_ddd_elicit_2.wav	pali efyo ekalile mucimuti, temangolofye iyo.	bem
1_3762_0_11_01_211103-114416_bem_cee_elicit_0.wav	Imbwa ileenda mufyabuuta ifyapala umucanga. 	bem
28_9336_0_281_01_220109-134140_bem_94f_elicit_0.wav	Ba kalulu babili aba buta bali palunkoto.	ngo
35_11007_0_351_01_220118-092327_bem_ba5_elicit_0.wav	Abantu bane ababuuta inkanda nabeminina ku lulamba lwa mumana.	bem
2_439_0_21_01_211025-100643_bem_cee_elicit_0.wav	Umulumendo aleensha tukutuku mumpanga uwa mipeto shibili.	bem
1_49_2_11_01_211030-094937_bem_cc3_elicit_1.wav	kwalotalala apakalambanshi nakasuba takamoneka	toi
22_2142_4_221_01_211110-210532_bem_50c_elicit_2.wav	Ale bomfya itumbo yamenshi ukusanfya icimbaya mbaya	lam
28_3468_4_281_01_211111-151020_bem_d8d_elicit_2.wav	shitata wabuta inkanda nafwala amagalashi yafita elyo shitata wafita inkanda nafwala itoloshi lya fita.	leh
21_7480_1_212_02_220115-122046_bem_62a_elicit_0.wav	uyu shitata afwelefue akaputula ka kashika ukwabula ishati.	bem
12_6637_0_121_01_211105-182627_bem_9ed_elicit_0.wav	Imbwa shibili, shilelwila akatambo shikwete mukanwa	nya
33_4777_1_332_02_211109-185541_bem_b14_elicit_0.wav	Kabili nabekala pa masaka panshi	nse
12_6594_2_121_01_211105-134633_bem_9ed_elicit_1.wav	alelolesha ifintu ifisuma saana	nya
14_7189_3_142_02_211112-140612_bem_5da_elicit_1.wav	Umwana ufwele ifya fita aledonsa umwana ufwele ifya kashika pakutila ati eyingisha.	toi
21_1929_4_211_01_211113-000347_bem_83a_elicit_2.wav	Nalimo umuku wakubalilapo kuli uyu namayo ukushita ifyakulya fyamu musebo emulandu wine alefibebetela muli uyu musango	
22_2156_1_222_02_211110-091634_bem_004_elicit_0.wav	Nishi aleecita mulumendu  uyu.	nbl
26_8868_0_261_01_211112-025439_bem_8f1_elicit_0.wav	Bana mayo bali pali buligi nabeminina.	bem
25_2777_0_251_01_211109-173808_bem_5da_elicit_0.wav	Kensha we sitima afuma mukucenceta alekopa nefikope	toi
7_5443_1_72_02_170101-044837_bem_74d_elicit_0.wav	panshi napo Pali Impanga iikulu iyafimuti ifya katapa katapa.	toi
32_10376_3_322_02_220323-234115_bem_c25_elicit_1.wav	Bushe ni kwisa aba banakashi babili abankanda  yabuuta beminine?	bem
24_2629_1_242_02_211109-104456_bem_150_elicit_0.wav	Umwana akwete umushishi uwa kashikila kutanshi uwipi.	bem
22_7743_3_222_02_211111-233820_bem_50c_elicit_1.wav	ukulubali kumbi nakwiminina ibuma yabantu bale tamba baka cofa  bamacinga	lam
22_2158_3_222_02_211110-091921_bem_004_elicit_1.wav	Naba naka uku cofa ama cinga.	nbl
21_1907_2_211_01_211112-233747_bem_83a_elicit_1.wav	nabafwala no tusote kabili babili pali aba nabafwala amalaya ya katapa katapa elyo umo pabafwele amalaya ya katapa katapa ilaya lwakwe nalisuka pantashi kukulanga ulufumo	
17_7953_0_171_01_211110-080220_bem_947_elicit_0.wav	Umulumendo uwakashika aleagala munfula.	toi
32_4486_4_321_01_211111-172011_bem_e94_elicit_2.wav	Ee napo umwana uyu ale kunkulushya incinga nipaka musebo akaba pakati yalunkoto.	nya
1_146_4_11_01_211031-125818_bem_cc3_elicit_2.wav	Apakwikala abikilepo icalufumo nelyo kumutwe nafwala nakasote.	toi
26_8804_0_261_01_211112-003838_bem_8f1_elicit_0.wav	Umulumendo ali na kamela alekopa umulumendo munankwe utolweke mumulu nenginga anininepo..	bem
35_5308_2_351_01_220117-135940_bem_ba5_elicit_1.wav	Panshi nabateyapo akabale umwakuti liponene.	bem
22_1992_0_221_01_211109-135545_bem_50c_elicit_0.wav	Umulumendo ale ibaka paka pulanga.	lam
9_5864_1_92_02_211028-045846_bem_ebf_elicit_0.wav	Nabakwata ifyakufwala me fyakuteyelako kuminwe umupila	bem
2_4223_3_22_02_211028-101700_bem_cee_elicit_1.wav	Kuliko ing'anda iikulu ilemoneka iyabutulukila pamulandu wa mfula ya mabwe yabuuta.	bem
29_9632_1_292_02_220114-181121_bem_84b_elicit_0.wav	Ale moneka ale fwaya uku pepa.	ngo
29_3839_3_292_02_211114-122232_bem_a9e_elicit_1.wav	Ndemona limbi aka kamwana takalakula ukufikapo icakuti kuti kasheta na itaba.	bem
22_2080_2_221_01_211110-120258_bem_50c_elicit_1.wav	Bonse abana nabasansamuka	lam
2_4092_0_21_01_211031-140749_bem_2a5_elicit_0.wav	Umwaume ali pa menshi ya lu bemba aleeleela.	bem
15_3523_3_152_02_211021-153021_bem_9ff_elicit_1.wav	Nelyo ilelwisha ukukana ibila no mutwe kumo mu menshi.	bem
2_438_3_22_02_211026-173222_bem_2a5_elicit_1.wav	Panshi pali icani icisuma saana ico bateeta bwino.	
32_4664_4_321_01_211112-202308_bem_e94_elicit_2.wav	Ehee kabili kuli umuntu umbi ule mulandishya akobomfya iminwe pakulanda	nya
22_7872_0_221_01_211112-202518_bem_004_elicit_0.wav	mbwa na yiminina mupepi na umumana	nbl
33_4763_3_332_02_211109-171507_bem_b14_elicit_1.wav	elyo umwanakashi afwele icisote chakashika	nse
10_2482_0_101_01_211031-010819_bem_ddd_elicit_0.wav	abantu babili nabeminina kuntashi yabo kuli abaume bamo	bem
6_1391_4_61_01_211027-063818_bem_53e_elicit_2.wav	Kuti caba icafimbwa pamulu pantu mumulu mulemoneka umutenge ne laiti nalyaka mumulu.	bem
32_4653_1_322_02_211112-093843_bem_947_elicit_0.wav	bushe ninshi basansilishe amenshi palubansa	toi
4_953_0_41_01_211027-135727_bem_5a5_elicit_0.wav	Ndemona banakulu bantu babili naba kwata amapala	bem
27_8961_0_271_01_211113-101338_bem_f07_elicit_0.wav	Bashitata mukaputula nabaimya mati elyo banamayo nabasendapo fimo. .	nya
18_12143_2_181_01_211114-231452_bem_5da_elicit_1.wav	Ee boi,elyo imbwa yakaena iili na shikulu bantu uyu ilelolesha kwati ilefwailikisha utwakulya munshila.	toi
12655_4_01_211103-093621_bem_142_elicit_2.wav	Uku kwine kwalifula abantu abengi sana cilepala ukutila eko baya, lelo aba bena baciya fye uku kwine pakutila bengaleshako icitendwe.	bem
16_6367_2_161_01_220111-132012_bem_5da_elicit_1.wav	Emukwai icikulwa balelungisha nacikwata nemitanto pamulu.	toi
22_7903_3_222_02_211112-220931_bem_50c_elicit_1.wav	Icipeni CA mulumendo uyu pa ntanshi cili ne nsalu	lam
4_4702_0_41_01_211031-105053_bem_5a5_elicit_0.wav	Imbwa aya onda iya kwata umucila unono na imya amalo yakuntashi.	bem
38_11805_1_382_02_211114-154939_bem_f12_elicit_0.wav	Umo shitata naikata inkomaki iyabwalwa muminwe.	bem
7_1539_2_71_01_170101-203516_bem_74d_elicit_1.wav	kulemoneka na ifimuti ifya katapakatapa elo abantu aba balesamba Bambi nabo beminine fye.	toi
17_7918_3_172_02_211110-153040_bem_e94_elicit_1.wav	Kumbali ya mupando naba kobekapo icakufimbana icamafufu.	nya
17_7994_4_171_01_211110-105441_bem_947_elicit_2.wav	Ibimbi lyapali beemba nalyo nalima.	toi
12_6657_1_122_02_211104-062314_bem_ce8_elicit_0.wav	ntambo shapangwa nainsambo	bem
19_7068_1_192_02_220118-132215_bem_5bb_elicit_0.wav	Nabosa bola mumulu mukubomfya akampapa kakuminako	bem
13_3096_0_131_01_211107-083717_bem_8cc_elicit_0.wav	Umulumendo umo naiminina elyo bambi nabakontama, balemoneka baleteya umupila waku minwe iwaku bangeleshi	bem
14_7186_1_142_02_211112-140200_bem_5da_elicit_0.wav	Bushe ewuyu umulumendo uwushelela cila bushiku mu ncende iyi?	toi
16_6439_0_161_01_220111-174152_bem_5da_elicit_0.wav	Namayo nemishishi sha buta nenkanda yabuta alenda na camera kuminwe.	toi
38_11752_3_382_02_211113-222628_bem_f12_elicit_1.wav	Aba abalumendo balemoneka abatubilisha sana elyo tabafwele nensapato, bafwile bali mupepi naapo bekala.	bem
17_7910_1_172_02_211110-150704_bem_e94_elicit_0.wav	Imbwa iyafita naifunga namolu paku tintana neinankwe.	nya
34_5126_3_342_02_211114-131353_bem_004_elicit_1.wav	Natoloka icine icine mu muulu nafungulula namaboko.	nbl
34_5168_1_342_02_211114-150312_bem_004_elicit_0.wav	Ici baninapo cile batwala mu mulu nokubabwesha panshi	nbl
27_3247_0_271_01_211110-130705_bem_e72_elicit_0.wav	Ibumba lyabantu baleenda pa eshikaleta ileya ukwapusana	leh
17_6603_3_172_02_220112-150906_bem_5da_elicit_1.wav	Bushe abantu aba balakwanisha ukwabuka umumana uyu nobwato ubu?	toi
27_9154_4_271_01_211113-224540_bem_f07_elicit_2.wav	Aba batata nabafwala icampepo icafita napalembwa USA.	nya
27_8998_3_272_02_211112-231819_bem_e72_elicit_1.wav	Eya cishinka ico pantu nomwine musungu .	leh
7_1601_0_71_01_170101-044151_bem_74d_elicit_0.wav	akamwana kale angala nakafwala na ifyakufwala ifyafita.	toi
38_6104_2_381_01_211112-232158_bem_ba5_elicit_1.wav	Ishi nimyotoka ishaseeka mufyalo umwafula saana abantu pantu shilapangwa ishinoono.	bem
21_7656_1_212_02_220115-191653_bem_62a_elicit_0.wav	Elyo mumusebo tamulemo eka nabantu abalibonse	bem
34_4979_4_341_01_211113-162114_bem_004_elicit_2.wav	Umukashana alepelekesha umulumendo utulimba twa mumatwi.	nbl
7_5498_3_72_02_170101-081303_bem_74d_elicit_1.wav	ee elo uyu umwaume ekele panshi capalakwati takwata inganda.	toi
