pair_id	image	sentence_id	image_id	audio_id	sentence	translation	speaker_id	gender	duration	sample_rate	audio_format	recording_lang	native_lang
30.0	3039990	1	363056425.jpg	30_3999_0_301_01_211109-112121_bem_654_elicit_0.wav	Cinkupiti wabantu ali kucisankano.	A crowd of people is by the market.	301	male	6.171	16000	vnd.wave	bem	bem
17.0	1779034	1	2672588619.jpg	17_7903_4_171_01_211110-061647_bem_947_elicit_2.wav	Ee kabili balili nafwala amakapa lelyo umo nao nafwala insapato.	Yes and two are wearing slippers then one is wearing shoes.	171	male	9.256	16000	vnd.wave	bem	toi
17.0	1765623	2	102575576.jpg	17_6562_3_172_02_220112-132813_bem_5da_elicit_1.wav	Emukwai shi tata nafwala ifyakufwala fya fita na namayo nafwala ilaya lya buta.	Yes, the man is dressed in black while the woman is dressed in a white dress.	172	male	6.692	16000	vnd.wave	bem	toi
20.0	2073552	1	691770760.jpg	20_7355_2_201_01_220116-195930_bem_62a_elicit_1.wav	cilepala kwati naticila ishi ankwe shonse mulubilo, kuli nabantu babili abaletamba	it's like it has surpassed all the other dogs, there are two people watching	201	female	5.739	16000	vnd.wave	bem	bem
22.0	2278233	2	762678729.jpg	22_7823_3_222_02_211112-112434_bem_50c_elicit_1.wav	cipalile kwati ibumba ile lwisha  ukwingala mwi tent	it seems they are trying to enter into a tent	222	male	4.968	16000	vnd.wave	bem	lam
13.0	1368204	1	2277299634.jpg	13_6820_4_131_01_211029-170640_bem_9ed_elicit_2.wav	Cishinka, cilemoneka kwati nakwambo uku fita	That's true it's about to get dark.	131	male	4.718999999999999	16000	vnd.wave	bem	nya
34.0	3450491	2	5614715384.jpg	34_5049_1_342_02_211114-011036_bem_50c_elicit_0.wav	Umukashana nafwala ilaya ilya buuta.	The girl is in a white dress.	342	male	3.335	16000	vnd.wave	bem	lam
18.0	18121344	1	4830853179.jpg	18_12134_4_181_01_211114-224547_bem_5da_elicit_2.wav	Nomba ababene bakashana nangu tulelanda pamulomo balemoneka  kwati tabaleshimika na kushimika,bonse balifye nefyabo.	Although they actually seem to just be in their own worlds and not chatting or storytelling.	181	male	9.301	16000	vnd.wave	bem	toi
2.0	23291	2	1306145560.jpg	2_329_1_22_02_211026-122401_bem_2a5_elicit_0.wav	Ileoowela mu menshi ilyo yi sumine akamupila mu kanwa.	it has a small ball in its mouth while it is swimming in the river	22	male	6.76	16000	vnd.wave	bem	
24.0	2424743	2	2252403744.jpg	24_2474_3_242_02_211108-140623_bem_150_elicit_1.wav	Bushe aka kamwana kanshintilishe umubiye takamuchene mwa?	Wont the child injure the friend?	242	female	5.059	16000	vnd.wave	bem	bem
13.0	1369454	1	3417788829.jpg	13_6945_4_131_01_211031-144416_bem_9ed_elicit_2.wav	Kule moneka uku bali abaice niku mushi mumi monekele iya ma yanda ayaba uku	They seem to be in the village based on how the houses where built here.	131	male	6.534	16000	vnd.wave	bem	nya
14.0	1470400	1	3560726559.jpg	14_7040_0_141_01_211111-091830_bem_f08_elicit_0.wav	Umulumendo nafwala ifyafita nomukashana nafwala ifya katapa katapa nabekatana mumpanga.	A man dressed in black and a lady dressed in green are holdeing hands in the bush.	141	female	10.64	16000	vnd.wave	bem	bem
22.0	2278882	1	4891383938.jpg	22_7888_2_221_01_211112-212218_bem_004_elicit_1.wav	cacine patu ba lelya mu musebo	that's true because they are eating on the road	221	female	3.312	16000	vnd.wave	bem	nbl
34.0	34108370	1	4470892676.jpg	34_10837_0_341_01_220128-155030_bem_d0b_elicit_0.wav	bashi bantu balelisha violin wakumalaiti.	A man is playing an electric violin.	341	male	5.308	16000	vnd.wave	bem	bem
33.0	3347903	2	2934573544.jpg	33_4790_3_332_02_211109-193906_bem_b14_elicit_1.wav	kabili mukati ye yadi umuli amayanda muli ne cimuti icikulu ica katapa-katapa	Inside the yard of the houses there is a big tree	332	female	8.054	16000	vnd.wave	bem	nse
6.0	613412	1	1414820925.jpg	6_1341_2_61_01_211025-071414_bem_53e_elicit_1.wav	Imishishi shakwe shaliba ishaputuka bwino. elo ifiputula afwele calikwata netumba ilikulu kumbali.	He has nicely cut hair and the short he is wear has big pockets on the sides.	61	male	16.357	16000	vnd.wave	bem	bem
12.0	1265022	1	3383491811.jpg	12_6502_2_121_01_211104-200250_bem_9ed_elicit_1.wav	naiminina panshi iyamusebo	it's standing down the road	121	male	2.472	16000	vnd.wave	bem	nya
27.0	2789514	1	3501936223.jpg	27_8951_4_271_01_211113-095556_bem_f07_elicit_2.wav	eya mukwai, imfula Shauta shena shalisangwa saana kufyalo fyabasungu.	it's usually this way in very cold places	271	male	6.738	16000	vnd.wave	bem	nya
35.0	35111714	1	4269809096.jpg	35_11171_4_351_01_220118-194031_bem_ba5_elicit_2.wav	Aba bapatili bafwele nensalu shamachungwa machungwa. Nabaipomba.	The monks have wrapped themselves in orange cloth	351	male	5.513	16000	vnd.wave	bem	bem
17.0	1779260	1	3106857210.jpg	17_7926_0_171_01_211110-071047_bem_947_elicit_0.wav	Namayo umusungu aleenda pa musebo.	A white woman is walking.	171	male	3.607	16000	vnd.wave	bem	toi
31.0	3142733	2	1813777902.jpg	31_4273_3_312_02_211111-221833_bem_83a_elicit_1.wav	Ku icifulo ali kulemoneka nimuchibansa  nangula mulya mulima Inama.	he seems to be in a field or one that is cultivated by animals	312	female	5.172000000000001	16000	vnd.wave	bem	
22.0	2220632	1	4780620826.jpg	22_2063_2_221_01_211110-080552_bem_50c_elicit_1.wav	Nafwala akasote aka buta elyo nakapilibula	He is wearing a white hat in a different direction.	221	male	4.424	16000	vnd.wave	bem	lam
17.0	1765243	2	2304374703.jpg	17_6524_3_172_02_220112-120932_bem_5da_elicit_1.wav	Bushe imbwa iyi ilife yeka uku kuntu?	Is the dog alone?	172	male	3.675	16000	vnd.wave	bem	toi
2.0	22523	2	804087017.jpg	2_252_3_22_02_211024-182657_bem_2a5_elicit_1.wav	Kuli icikulwa ca ntunti  shibili ica pentwa elyo nachikwata amawindo ayeswike elyo yambi nayesalwa.	theres a two story building close by, its painted and some of its windows are open	22	male	9.46	16000	vnd.wave	bem	bem
13.0	1367772	1	2834752476.jpg	13_6777_2_131_01_211028-115000_bem_9ed_elicit_1.wav	Aleemoneka ali kucikuulwa icabwalwa.	It seems he is at a bar.	131	male	3.4930000000000003	16000	vnd.wave	bem	nya
18.0	18121812	1	3509575615.jpg	18_12181_2_181_01_211115-111504_bem_5da_elicit_1.wav	Ee boi ndemona ecilengele aba bantu ukuya pamusebo ukutila abalengile ukucita ifi baposeko amaano.	I think it is why they have decided to protest and be granted their wish.	181	male	8.167	16000	vnd.wave	bem	toi
19.0	1971562	1	508432819.jpg	19_7156_2_191_01_220118-165328_bem_524_elicit_1.wav	Aya kunuma nayema mumulu	The backside wheels are in the air	191	female	3.63	16000	vnd.wave	bem	bem
19.0	1913463	2	2106772874.jpg	19_1346_3_192_02_211110-131540_bem_d8d_elicit_1.wav	nashikala pansalu yamu ng'anda iya makumbi makumbi cilepala kwati ishi imbwa Shamu ng'anda.	they are sited on a blue cloth inside the house, they are house dogs	192	female	8.394	16000	vnd.wave	bem	leh
25.0	2528874	1	3018983196.jpg	25_2887_4_251_01_211110-124206_bem_5da_elicit_2.wav	Awe kwena lisuma sana isitolo ili elyo kaili tema buku fye ashitishamo mula sangwa nama part yaku fimbaya mbaya ifyapusana, bonse abantu emo besa mukushita.	This is a good shop it is not only books whuch are found there also spare parts for the cars and everzone comes to buy from this shop.	251	male	13.453	16000	vnd.wave	bem	toi
34.0	3449904	1	2406062461.jpg	34_4990_4_341_01_211113-164655_bem_004_elicit_2.wav	Umukashana umo nabapindula icinso cakwe pakamupila.	One lady's face is carved on a small ball.	341	female	4.968	16000	vnd.wave	bem	nbl
16.0	1676252	1	392976422.jpg	16_7625_2_161_01_211109-122916_bem_74d_elicit_1.wav	kwena nainewine teti njishibe, alemonekafye kwati Pali uko aleya uyu umulumendo.	He looks like he is going somewhere.	161	female	7.305	16000	vnd.wave	bem	toi
28.0	2892332	1	7958174552.jpg	28_9233_2_281_01_220108-160320_bem_94f_elicit_1.wav	Nangula ebakumwenenena ica ngalo kuti bonse bale teya bwino ukwabula ulu fyengo	They must be making sure that the game is being played fairly.	281	male	7.169	16000	vnd.wave	bem	ngo
4.0	49131	2	2469498117.jpg	4_913_1_42_02_211026-001042_bem_5a5_elicit_0.wav	Iyi imbwa ikwte aka vesti ka mutuntula ilemonaka kwati yalebutukisha eco ilemonekela kwati ili pamwela	This dog woth a yellow jersey looks like it runs fast.	42	male	8.28	16000	vnd.wave	bem	bem
8.0	817691	2	2789238858.jpg	8_1769_1_82_02_211026-062914_bem_ce8_elicit_0.wav	Nabaikakila na ifintu panuma	It is carrying some things on its back.	82	male	3.743	16000	vnd.wave	bem	bem
8.0	818771	2	3068735836.jpg	8_1877_1_82_02_211031-045452_bem_ce8_elicit_0.wav	Mpumpumpu yakwe naima nakuntanshi	The motorcycle's front wheel is up.	82	male	5.104	16000	vnd.wave	bem	bem
16.0	1675292	1	2307807200.jpg	16_7529_2_161_01_170101-064659_bem_74d_elicit_1.wav	limbi balelolela motoka Yakuba twala pantu balemoneka kwati baletutuma	Maybe he is waiting for a car to take him,she really is shivering.	161	female	11.253	16000	vnd.wave	bem	toi
	125053	2	2537119659.jpg	12505_3_02_211102-080644_bem_dcc_elicit_1.wav	Ifyakufwala nifimona filemoneka bwino sana pantu fyonse fyama makumbi makumbi elyo mukati na mwena abikilemo icakufwala ica maboko ayatali ica makumbi makumbi	The clothes look very nice, he is dressed in blue, and has something that's blue and long sleeved inside.	12	male	13.907	16000	vnd.wave	bem	bem
19.0	1913911	2	4559652229.jpg	19_1391_1_192_02_211110-163609_bem_d8d_elicit_0.wav	elyo nafwala ifyakufwala fyafita, tafwele nensapato.	He is wearing a black shirt and is not wearing shoes	192	female	5.104	16000	vnd.wave	bem	leh
19.0	1969571	2	3667035672.jpg	19_6957_1_192_02_220117-203606_bem_5bb_elicit_0.wav	chili nishita ya bushiku pantu nakufita	Its eveving time and it is getting dark	192	male	4.106	16000	vnd.wave	bem	bem
7.0	753283	2	3104400277.jpg	7_5328_3_72_02_170101-051539_bem_74d_elicit_1.wav	elo aba balemoneka kwati bale angala ubwangalo bwakucimfyanya.	They are playing a game to compete.	72	female	5.785	16000	vnd.wave	bem	toi
27.0	2789621	2	3173928684.jpg	27_8962_1_272_02_211112-215137_bem_e72_elicit_0.wav	Umo nasuma umunankwe, elo uo basuma natoloka noku punda umulandu wabukali.	one has bitten the other, the one that's bitten has jumped and screaming in pain	272	female	8.371	16000	vnd.wave	bem	leh
9.0	958720	1	3470129475.jpg	9_5872_0_91_01_211030-101512_bem_901_elicit_0.wav	Abalumendo abacaice bali panse pancende imo.	young boys are outside in some place.	91	female	4.945	16000	vnd.wave	bem	bem
34.0	3450071	2	313051099.jpg	34_5007_1_342_02_211113-212758_bem_50c_elicit_0.wav	Ili  pa lunkoto ile-angala ne cimuti.	It is on the grass as it plays with the stick.	342	male	3.38	16000	vnd.wave	bem	lam
33.0	3347313	2	2461641557.jpg	33_4731_3_332_02_211109-141256_bem_b14_elicit_1.wav	Elo kabili uyu umwaume nafumina panse ya nsolokoto ya  pa muulu kabili naikala pa kapuna akanono ukulolesha ku nsolokoto	This man is sited on a small chair outside the top most window of the tall building	332	female	11.82	16000	vnd.wave	bem	nse
37.0	3759284	1	15308698.jpg	37_5928_4_371_01_211112-213116_bem_5bb_elicit_2.wav	Nakulubantu  akoveke ukuboko mukwamulumendo pakwenda.	The old womanhas hooked her arm in the young man;s as they walk.	371	male	4.9	16000	vnd.wave	bem	bem
7.0	752891	2	3452341579.jpg	7_5289_1_72_02_211027-160944_bem_74d_elicit_0.wav	elo kumbali Kuli na abantu basano abaletamba ificitike.	There are five people watching what has happened.	72	female	6.261	16000	vnd.wave	bem	toi
19.0	1969643	2	2745372673.jpg	19_6964_3_192_02_220117-205609_bem_5bb_elicit_1.wav	Mupepi na uyu shikulu bantu pali naumbi shitaata uyo aleyensha kamanshini aka katapakatapa	There is another man driving driving a green machine	192	male	7.26	16000	vnd.wave	bem	bem
34.0	3449974	1	5931039781.jpg	34_4997_4_341_01_211113-165935_bem_004_elicit_2.wav	Baletuushako nabapyanga sana umusebo.	He is taking a rest after cleaning the street.	341	female	3.085	16000	vnd.wave	bem	nbl
7.0	715590	1	2258662398.jpg	7_1559_0_71_01_170101-230959_bem_74d_elicit_0.wav	umulumendo alesheleleka pa mumana nafwala na ifyafita.	A man wearing a black costume is surfing on the sea.	71	female	5.626	16000	vnd.wave	bem	toi
22.0	2219712	1	120538235.jpg	22_1971_2_221_01_211109-095248_bem_50c_elicit_1.wav	Umulumendo umo alekopa efyo baleteya golf.	A young man is shooting a game of golf.	221	male	4.945	16000	vnd.wave	bem	lam
29.0	2994993	2	3698507219.jpg	29_9499_3_292_02_220111-191620_bem_94f_elicit_1.wav	Pamenshi palemoneka icintu ba panga, bushe kuti caba nicinshi?	there is something built on water, what could it be?	292	male	5.853	16000	vnd.wave	bem	ngo
4.0	446431	2	1510078253.jpg	4_4643_1_42_02_211030-170356_bem_5a5_elicit_0.wav	Elo iyi imbwa iyasame ile lolesha ka bola akanono akali mumwela.	The dog is looking at the small ball.	42	male	8.485	16000	vnd.wave	bem	bem
14.0	1470952	1	142802798.jpg	14_7095_2_141_01_211111-132025_bem_f08_elicit_1.wav	Emukwai ekatungulula wakushelela kufibumba,ewaishiba saana ukushelela kufibumba akalale konse.	Yes he is the leader of skirting on walls, he is very good at skirting in this town.	141	female	9.596	16000	vnd.wave	bem	bem
17.0	1778502	1	1332815795.jpg	17_7850_2_171_01_211109-121807_bem_947_elicit_1.wav	Kwena ndemona kwati aka akamwana bakabikile pofye pa cimpelwa.	I think this child was just put on the swing.	171	male	8.076	16000	vnd.wave	bem	toi
15.0	1574603	2	3476451861.jpg	15_7460_3_152_02_211030-173534_bem_8cc_elicit_1.wav	alekwela incinga ku muulu wacimuti icikalamba	she is taking the bicycle on top of a big tree	152	female	6.08	16000	vnd.wave	bem	bem
21.0	2118982	1	2606433181.jpg	21_1898_2_211_01_211112-231257_bem_83a_elicit_1.wav	cine tashili shamusango umo wine iyo lelo shilemoneka shangalila pamo	true. however, even though they are not of the same age, and are different, they certainly are enjoying playing together	211	female	5.966	16000	vnd.wave	bem	
29.0	2996264	1	279757732.jpg	29_9626_4_291_01_220112-214605_bem_9ff_elicit_2.wav	Kabili ifyo afwele fili ifyatikama kumo na ku moolu ukuicingilila ku mpepo.	He is wearing thick clothes to keep him warm.	291	female	8.621	16000	vnd.wave	bem	bem
27.0	2790034	1	2833431496.jpg	27_9003_4_271_01_211113-123421_bem_f07_elicit_2.wav	cilepala akakene Kamana kalikwata amenshi ayengi sanafye.	the river seems to have lots of water	271	male	5.558	16000	vnd.wave	bem	nya
21.0	2118052	1	2662840398.jpg	21_1805_2_211_01_211112-114855_bem_83a_elicit_1.wav	cine nalimo emo asungila ifisolobelo ifyo abomfya pa kulenga  kabili nafwala icisote cakuicingilila kubukali bwa kasuba	I see. perhaps that is where she keeps her various tools needed for her drawing. she is also wearing a just to protect her from the scorching heat	211	female	7.94	16000	vnd.wave	bem	
	122480	1	3185860969.jpg	12248_0_01_211021-173226_bem_dcc_elicit_0.wav	Shitata ali mucikulwa naikala pa mupando alelisha icilimba ca nsale	A man is inside a building sited and playing his sound instrument.	11	male	8.802	16000	vnd.wave	bem	bem
2.0	241820	1	3508882611.jpg	2_4182_0_21_01_211102-083345_bem_2a5_elicit_0.wav	Umwanakashi ali ku cibansa ca mbwa uko shisambilila ifya kutoloka ne misango imbi.	The woman is in a dog training Stadium.	21	male	7.441	16000	vnd.wave	bem	bem
12.0	1229812	1	3350671534.jpg	12_2981_2_121_01_211101-061510_bem_bd6_elicit_1.wav	ee, elyo kuli amakuumbi saana	yes,there are alot of clouds	121	male	4.968	16000	vnd.wave	bem	lam
32.0	3246524	1	3501457496.jpg	32_4652_4_321_01_211112-184526_bem_e94_elicit_2.wav	elo kabili balemoneka kwati nabaipekanya ukukopa icikope na kamela	They look like they are prepared to be captured by the camera.	321	female	6.692	16000	vnd.wave	bem	nya
18.0	18121900	1	4943185444.jpg	18_12190_0_181_01_211115-114218_bem_5da_elicit_0.wav	Shikulubantu umo naikala pali honda yakwe mumbali yamusebo.	An certain man is on his motorbike beside the roadside.	181	male	4.401	16000	vnd.wave	bem	toi
35.0	35109853	2	2863458991.jpg	35_10985_3_352_02_220117-172302_bem_f12_elicit_1.wav	Nakwata nechampepo echo afimbile nakumutwe.	She has something warm that she has even covered over her head.	352	female	3.675	16000	vnd.wave	bem	bem
13.0	1368974	1	1227655020.jpg	13_6897_4_131_01_211031-101823_bem_9ed_elicit_2.wav	Endita, efyo cile moneka pantu sha moneka sana ubusaka	Thats true because they are just too clean.	131	male	4.628	16000	vnd.wave	bem	nya
14.0	1470951	2	142802798.jpg	14_7095_1_142_02_211112-005818_bem_5da_elicit_0.wav	Bushe umulumendo uyu euletungulula abana bonse abele mukusambilila ukukwela kucibumba?	Is this the man leading all the children that have come to learn how to skirt on walls?	142	male	7.509	16000	vnd.wave	bem	toi
22.0	2277932	1	1060605297.jpg	22_7793_2_221_01_211112-143500_bem_004_elicit_1.wav	umo nafwala ishati ya buta ne tangasa ya fita	one is wearing a white shirt and black trousers	221	female	4.129	16000	vnd.wave	bem	nbl
28.0	2894020	1	8042519212.jpg	28_9402_0_281_01_220111-091456_bem_94f_elicit_0.wav	Ibumba ilyaku teyo umupila ubwa kuminwe naikontama mucibansa uku nabe kata muma kufi.	A team of players for rugby are leaning forward while holding their knees.	281	male	8.621	16000	vnd.wave	bem	ngo
17.0	1779863	2	2246717855.jpg	17_7986_3_172_02_211111-101809_bem_e94_elicit_1.wav	Umukashana umwina Asia naikata na icakuicingilishako imfula umulumendo nao nabiika icoola pakati yamoolu.	An Asian lady has what to cover herself from rain and the gentleman has put his bag between his legs.	172	female	9.143	16000	vnd.wave	bem	nya
	1172	1	1675485579.jpg	117_2_01_210929-142249_bem_81c_elicit_1.wav	Ici ictabo calembwamo amafunde ayakukonka.	It is a book of rules to follow.	11	male	7.509	16000	vnd.wave	bem	bem
5.0	511630	1	3612485097.jpg	5_1163_0_51_01_211102-085520_bem_e3a_elicit_0.wav	Umwaume nanina panuma yamunankwe.	a man is carrying his friend on his back	51	female	3.448	16000	vnd.wave	bem	bem
	1472	1	2813784259.jpg	147_2_01_210928-114505_bem_dcc_elicit_1.wav	Awe lolekesha bambi bafwele ifya fita te bonse abafwele ifya buta icilelangila fye ukutila pali amabumba yabili ayapusana.	Look closely, others are wearing black indicating that they are two different teams.	11	male	12.092	16000	vnd.wave	bem	bem
28.0	2894394	1	3094568845.jpg	28_9439_4_281_01_220111-100912_bem_94f_elicit_2.wav	Elyo tule moneka utwa ololoka bwino saana	They  seem to be straight lines.	281	male	3.993	16000	vnd.wave	bem	ngo
27.0	2790032	1	2833431496.jpg	27_9003_2_271_01_211113-123421_bem_f07_elicit_1.wav	eya mukwa , elyo nga bapona apa kuti bafwa bwino-bwino.	and if they fell they can die	271	male	5.104	16000	vnd.wave	bem	nya
21.0	2119140	1	2178295748.jpg	21_1914_0_211_01_211112-234628_bem_83a_elicit_0.wav	bashitata babili abasungu bali mumuputule uwakwipikilamo umo aleoca inkoko ishingi, elo umbi naiminina aletamba	two men are in a restaurant and one of them is roasting a lot of chicken while the other one is simply watching	211	female	9.664	16000	vnd.wave	bem	
2.0	24652	1	3047144646.jpg	2_465_2_21_01_211026-074825_bem_cee_elicit_1.wav	Abanakashi batatu nabafwala utusote ku mutwe elyo namayo umbi na shitata tabakwete bena.	three of the women are wearing hats.	21	female	7.327999999999999	16000	vnd.wave	bem	bem
13.0	1368610	1	2144846312.jpg	13_6861_0_131_01_211030-232857_bem_9ed_elicit_0.wav	Umwaana ali pamo naabanyina, bale mulisha. Kukanwa naku kashika ne fya kulya	A child is  with the mother who is feeding her and the mouth has been painted red with the food.	131	male	6.738	16000	vnd.wave	bem	nya
27.0	2789871	2	5365075444.jpg	27_8987_1_272_02_211112-225927_bem_e72_elicit_0.wav	Umo alesunka injinga kuntanshi umbi naikala pamulu aleumfwa amanone	one is pushing the bicycle in front while the other is sited on it enjoying	272	female	6.534	16000	vnd.wave	bem	leh
17.0	1766201	2	1365040902.jpg	17_6620_1_172_02_220112-153153_bem_5da_elicit_0.wav	Bushe uyu shitata ewensha icimbaya mbaya ici?	Is this man the driver of the car?	172	male	4.083	16000	vnd.wave	bem	toi
22.0	2220652	1	36147990.jpg	22_2065_2_221_01_211110-082848_bem_50c_elicit_1.wav	Umukashana nakwata fwaka kukanwa.	She also has a cigarette stuck to her mouth.	221	male	3.425	16000	vnd.wave	bem	lam
22.0	2221191	2	3561404991.jpg	22_2119_1_222_02_211109-183717_bem_004_elicit_0.wav	pa lupili Bali pali menshi makasa	The hill is full of snow	222	female	2.541	16000	vnd.wave	bem	nbl
21.0	2176153	2	3060622326.jpg	21_7615_3_212_02_220115-143306_bem_62a_elicit_1.wav	Aba bantu Bali mwituka lya fyakufwala	These two are in a clothing store.	212	female	4.7410000000000005	16000	vnd.wave	bem	bem
20.0	2015194	1	892870649.jpg	20_1519_4_201_01_211110-180154_bem_dbf_elicit_2.wav	naumfwa mune, nsansa nshi balemonekafye ati bali mufitemwiko	they look like they are a couple that love each other	201	female	7.35	16000	vnd.wave	bem	bem
4.0	446424	1	3404012438.jpg	4_4642_4_41_01_211031-004447_bem_5a5_elicit_2.wav	Apa pameenshi imbwa nefyoni filipo, mumbali mumbali yakamana mulemoneka.	The sides of the river is showing.	41	male	6.806	16000	vnd.wave	bem	bem
7.0	717414	1	3506560025.jpg	7_1741_4_71_01_170102-011953_bem_74d_elicit_2.wav	abantu bena balitemwa ifyakusefya sefya.	People love celebrating.	71	female	5.0360000000000005	16000	vnd.wave	bem	toi
25.0	2527582	1	2404959574.jpg	25_2758_2_251_01_211109-154100_bem_5da_elicit_1.wav	Emukwai ewo wine, lelo katwishi abanankwe kuntu bali.	Yes she is the one,but today the friends are nowhere to be seen.	251	male	4.9	16000	vnd.wave	bem	toi
33.0	3347443	2	238964239.jpg	33_4744_3_332_02_211109-145307_bem_b14_elicit_1.wav	Kabili cilemoneka kwati baleteya injuka elyo kabili balelanshanya	Looks like there are having a discussion while playing cards	332	female	7.396	16000	vnd.wave	bem	nse
8.0	855183	2	3074617663.jpg	8_5518_3_82_02_211104-214839_bem_901_elicit_1.wav	Naikalako pa mucanga	It is sitted on some sand.	82	female	4.513999999999999	16000	vnd.wave	bem	bem
27.0	2790244	1	2308322210.jpg	27_9024_4_271_01_211113-130116_bem_f07_elicit_2.wav	eya mukwai efyo cilepala, pakuti balemwibukisha.	yes they want to keep remembering	271	male	5.671	16000	vnd.wave	bem	nya
30.0	3099170	1	487894806.jpg	30_9917_0_301_01_220124-131935_bem_c25_elicit_0.wav	Ici icikope cilelangisha imbwa iyamafufu ayabutulukila.	This picture is showing a dog with brown fur.	301	male	8.825	16000	vnd.wave	bem	bem
27.0	2791071	2	247706586.jpg	27_9107_1_272_02_211113-150349_bem_b15_elicit_0.wav	Uyu umulumendo takweta umwenso pantu ifimabwe ifi kuti fyapona panshita iliyonse	he is not afraid at all because the rocks can fall on him	272	female	7.736000000000001	16000	vnd.wave	bem	leh
21.0	2118900	1	2098418613.jpg	21_1890_0_211_01_211112-230154_bem_83a_elicit_0.wav	imbwa naiminina apalemoneka epo ikala ninshi kunuma yaiko kuli ichimbayambaya ca katapa katapa	a dog is standing at what appears to be his place, and behind it is a green vehicle.	211	female	7.169	16000	vnd.wave	bem	
17.0	1778850	1	418796494.jpg	17_7885_0_171_01_211110-054713_bem_947_elicit_0.wav	Imbwa iyinono iyafita naiminina ileloleshya mumulu.	A small black dog is standing while looking in the air.	171	male	7.94	16000	vnd.wave	bem	toi
33.0	3347950	1	3709522287.jpg	33_4795_0_331_01_211109-191617_bem_c25_elicit_0.wav	Umwanakashi umo uwa nkanda iya buuta ali mu ngánda mu kicini	A white woman is inside the house in the kitchen	331	female	8.258	16000	vnd.wave	bem	nse
17.0	1764980	1	4944644486.jpg	17_6498_0_171_01_220111-122103_bem_9fd_elicit_0.wav	Banamayo nabashi tata nabeminina mucikulwa.	Men and women are standing in a building.	171	female	4.9	16000	vnd.wave	bem	bem
13.0	1331063	2	1463732807.jpg	13_3106_3_132_02_211024-195821_bem_9ed_elicit_1.wav	Limbi alelolela abanankwe kuti bambe ukuteyo mupila	He must be waiting for his friends to play football together.	132	male	5.2860000000000005	16000	vnd.wave	bem	nya
18.0	1867070	1	2975118353.jpg	18_6707_0_181_01_220116-122859_bem_524_elicit_0.wav	Umuntu alimumulu pali ka skate board.	A person on thre skateboard in the sky.	181	female	2.972	16000	vnd.wave	bem	bem
7.0	752783	2	3358380484.jpg	7_5278_3_72_02_211027-154204_bem_74d_elicit_1.wav	cipalile kwati ileangala na umuntu e kubutuka uku twamona	It looks like its playing with a person that is why it is running.	72	female	6.806	16000	vnd.wave	bem	toi
